contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType,expirationDate,ticker,midPrice,ask_bid_spread,expiration,days_to_exp,T,spot,moneyness,log_moneyness,bs_price
GOOG250627C00140000,2025-06-23 15:10:13+00:00,140.0,27.48,25.8,26.6,-5.59,-16.903538,24.0,12.0,0.79687703125,True,REGULAR,USD,call,2025-06-27,GOOG,26.200000000000003,0.8000000000000007,2025-06-27,3,0.00821917808219178,166.00999450683594,1.185785675048828,0.1704055718073233,26.093197879333246
GOOG250627C00145000,2025-06-23 14:45:57+00:00,145.0,23.47,20.8,22.4,0.4699993,2.0434754,1.0,9.0,0.8403336279296875,True,REGULAR,USD,call,2025-06-27,GOOG,21.6,1.5999999999999979,2025-06-27,3,0.00821917808219178,166.00999450683594,1.1448965138402478,0.13531425199605324,21.23851979963402
GOOG250627C00150000,2025-06-23 19:24:59+00:00,150.0,15.73,15.0,17.35,-1.7700005,-10.114288,47.0,209.0,0.50586431640625,True,REGULAR,USD,call,2025-06-27,GOOG,16.175,2.3500000000000014,2025-06-27,3,0.00821917808219178,166.00999450683594,1.1067332967122396,0.10141270032037197,16.09685287041583
GOOG250627C00152500,2025-06-20 19:07:46+00:00,152.5,16.47,11.7,15.15,0.0,0.0,2.0,2.0,0.8325212060546874,True,REGULAR,USD,call,2025-06-27,GOOG,13.425,3.450000000000001,2025-06-27,3,0.00821917808219178,166.00999450683594,1.0885901279136783,0.08488339836916135,14.341104595806598
GOOG250627C00155000,2025-06-23 19:35:20+00:00,155.0,11.2,11.15,12.45,-2.0,-15.151515,174.0,151.0,0.5576216113281252,True,REGULAR,USD,call,2025-06-27,GOOG,11.8,1.299999999999999,2025-06-27,3,0.00821917808219178,166.00999450683594,1.071032222624748,0.06862287749738102,11.386426148293907
GOOG250627C00157500,2025-06-23 18:10:48+00:00,157.5,7.9,8.05,9.1,-3.1,-28.181818,50.0,16.0,0.422857333984375,True,REGULAR,USD,call,2025-06-27,GOOG,8.575,1.049999999999999,2025-06-27,3,0.00821917808219178,166.00999450683594,1.0540317111545139,0.05262253615093992,8.802457728591179
GOOG250627C00160000,2025-06-23 19:57:53+00:00,160.0,6.6,6.4,6.7,-1.9000001,-22.352943,846.0,340.0,0.3540103662109374,True,REGULAR,USD,call,2025-06-27,GOOG,6.550000000000001,0.2999999999999998,2025-06-27,3,0.00821917808219178,166.00999450683594,1.0375624656677247,0.03687417918280084,6.385187782422861
GOOG250627C00162500,2025-06-23 19:59:13+00:00,162.5,4.45,4.35,4.45,-1.8000002,-28.800003,2037.0,223.0,0.2968820312499999,True,REGULAR,USD,call,2025-06-27,GOOG,4.4,0.10000000000000053,2025-06-27,3,0.00821917808219178,166.00999450683594,1.0215999661959134,0.021369992646835458,4.092389225814458
GOOG250627C00165000,2025-06-23 19:59:22+00:00,165.0,2.65,2.64,2.67,-1.6500001,-38.283062,8981.0,796.0,0.2751537329101562,True,REGULAR,USD,call,2025-06-27,GOOG,2.6550000000000002,0.029999999999999805,2025-06-27,3,0.00821917808219178,166.00999450683594,1.0061211788293087,0.006102520516047088,2.2359645340286107
GOOG250627C00167500,2025-06-23 19:59:55+00:00,167.5,1.39,1.37,1.4,-1.38,-49.819496,11850.0,1074.0,0.264655791015625,False,REGULAR,USD,call,2025-06-27,GOOG,1.385,0.029999999999999805,2025-06-27,3,0.00821917808219178,166.00999450683594,0.9911044448169309,-0.008935356848493482,0.9816075617315008
